Oct4	OCT4SOX2	+
Oct4	KLF4	+
Oct4	FOXD3	+
Oct4	ZFP42	+
Oct4	TDGF1	+
Oct4	SOX17	-
Oct4	GATA4	-
Oct4	GATA6	-
Oct4	T	-
Oct4	hCGa	-
Oct4	hCGb	-
Oct4	CDX2	-
Oct4	FOXO1A	+
Oct4	LEF1	-
Oct4	OCT4FOXD3	+
Oct4	PRDM14	+
SOX2	OCT4SOX2	+
SOX2	KLF4	+
SOX2	FOXD3	+
SOX2	ZIC3	+
SOX2	TDGF1	+
SOX2	GATA2	-
SOX2	BMP2	-
SOX2	FOXO1A	+
SOX2	NFYA	+
SOX2	PRDM14	+
SOX2	SALL4	+
NANOG	Oct4	+
NANOG	SOX2	+
NANOG	NANOG	+
NANOG	KLF4	+
NANOG	FOXD3	+
NANOG	ZIC3	+
NANOG	ZFP42	+
NANOG	GDF3	+
NANOG	TDGF1	+
NANOG	PBX1	+
NANOG	GATA4	-
NANOG	GATA6	-
NANOG	T	-
NANOG	GATA2	-
NANOG	GATA3	-
NANOG	CDX2	-
NANOG	BMP2	-
NANOG	FOXO1A	+
NANOG	LEF1	-
NANOG	LMCD1	+
NANOG	PRDM14	+
NANOG	SALL4	+
NANOG	SUMO1	+
NANOG	ZEF206	+
OCT4SOX2	Oct4	+
OCT4SOX2	SOX2	+
OCT4SOX2	NANOG	+
KLF4	NANOG	+
FOXD3	FOXA2	+
FOXD3	FOXA1	+
FOXD3	OCT4FOXD3	+
ZIC3	NANOG	+
ZIC3	SOX17	-
PBX1	NANOG	+
Oct4	OCT4SOX2	+
Oct4	KLF4	+
Oct4	FOXD3	+
Oct4	ZFP42	+
Oct4	TDGF1	+
Oct4	SOX17	-
Oct4	GATA4	-
Oct4	GATA6	-
Oct4	T	-
Oct4	hCGa	-
Oct4	hCGb	-
Oct4	CDX2	-
Oct4	FOXO1A	+
Oct4	LEF1	-
Oct4	OCT4FOXD3	+
Oct4	PRDM14	+
SOX2	OCT4SOX2	+
SOX2	KLF4	+
SOX2	FOXD3	+
SOX2	ZIC3	+
SOX2	TDGF1	+
SOX2	GATA2	-
SOX2	BMP2	-
SOX2	FOXO1A	+
SOX2	NFYA	+
SOX2	PRDM14	+
SOX2	SALL4	+
NANOG	Oct4	+
NANOG	SOX2	+
NANOG	NANOG	+
NANOG	KLF4	+
NANOG	FOXD3	+
NANOG	ZIC3	+
NANOG	ZFP42	+
NANOG	GDF3	+
NANOG	TDGF1	+
NANOG	PBX1	+
NANOG	GATA4	-
NANOG	GATA6	-
NANOG	T	-
NANOG	GATA2	-
NANOG	GATA3	-
NANOG	CDX2	-
NANOG	BMP2	-
NANOG	FOXO1A	+
NANOG	LEF1	-
NANOG	LMCD1	+
NANOG	PRDM14	+
NANOG	SALL4	+
NANOG	SUMO1	+
NANOG	ZEF206	+
OCT4SOX2	Oct4	+
OCT4SOX2	SOX2	+
OCT4SOX2	NANOG	+
KLF4	NANOG	+
FOXD3	FOXA2	+
FOXD3	FOXA1	+
FOXD3	OCT4FOXD3	+
ZIC3	NANOG	+
ZIC3	SOX17	-
PBX1	NANOG	+
FOXA2	FOXA2	+
FOXA2	AFP	+
SOX17	FOXA2	+
GATA4	GATA6	-
GATA6	NANOG	-
GATA6	GATA6	+
GATA2	hCGa	+
GATA3	hCGa	+
CDX2	Oct4	-
CDX2	CDX2	+
Bcat	LEF1bCat	+
BMP2K	BMP2	+
Camp	hCGa	+
Camp	hCGb	+
Camp	LMCD1	-
CEBP	SP1	+
E2F4	FOXD3	+
E2F4	T	-
E2F4	CEBP	-
E2F4	MYC	+
E2F4	NFYA	+
E2F4	PIAS1	+
E2F4	SP1	+
E2F4	SUMO1	+
E2F4	TCF3	+
FOXA1	AFP	+
FOXA1	FOXA1	+
LEF1	LEF1bCat	+
LEF1	SALL4	+
LEF1bCat	MYC	+
LMCD1	GATA6	-
Mad	MadMax	+
MAX	MadMax	+
MAX	MycMax	+
MYC	MycMax	+
MYC	MYCSP1	+
MYCSP1	SP1	-
NFYA	SP1	+
OCT4FOXD3	FOXA2	-
OCT4FOXD3	FOXA1	-
PIAS1	GATA4	+
PIAS1	PIAS1	+
PIAS1	PIASy	+
PIAS1	SP3	-
PIASy	GATA2	-
PRDM14	GATA6	-
PRDM14	T	-
PRDM14	CSH1	-
PRDM14	MYC	+
SP1	hCGb	+
SP1	CEBP	-
SP1	MYCSP1	+
SP1	SP1	+
SP3	hCGb	+
SP3	SP1	-
SUMO1	GATA4	+
SUMO1	GATA2	-
SUMO1	SP3	-
TCF3	MYC	-